file name, index, score
alpaca_cleaned_dataset, 39306, 0.103071
alpaca_cleaned_dataset, 37155, 0.103055
alpaca_cleaned_dataset, 13758, 0.102983
alpaca_cleaned_dataset, 33682, 0.102968
alpaca_cleaned_dataset, 1834, 0.102745
alpaca_cleaned_dataset, 35864, 0.102696
alpaca_cleaned_dataset, 37376, 0.102608
alpaca_cleaned_dataset, 26953, 0.10255
alpaca_cleaned_dataset, 3710, 0.102547
alpaca_cleaned_dataset, 15963, 0.102521
alpaca_cleaned_dataset, 4959, 0.102493
alpaca_cleaned_dataset, 37153, 0.102487
alpaca_cleaned_dataset, 1270, 0.102327
alpaca_cleaned_dataset, 27481, 0.102316
alpaca_cleaned_dataset, 29430, 0.102243
alpaca_cleaned_dataset, 13203, 0.102161
alpaca_cleaned_dataset, 31684, 0.102105
alpaca_cleaned_dataset, 42848, 0.102062
alpaca_cleaned_dataset, 6381, 0.101947
alpaca_cleaned_dataset, 46915, 0.101933
alpaca_cleaned_dataset, 22656, 0.101932
alpaca_cleaned_dataset, 10765, 0.101752
alpaca_cleaned_dataset, 41081, 0.101559
alpaca_cleaned_dataset, 35306, 0.101484
alpaca_cleaned_dataset, 11581, 0.101474
alpaca_cleaned_dataset, 457, 0.101353
alpaca_cleaned_dataset, 14032, 0.101332
alpaca_cleaned_dataset, 34607, 0.101311
alpaca_cleaned_dataset, 2300, 0.101265
alpaca_cleaned_dataset, 19189, 0.10116
alpaca_cleaned_dataset, 7319, 0.101122
alpaca_cleaned_dataset, 14107, 0.101115
alpaca_cleaned_dataset, 41375, 0.101075
alpaca_cleaned_dataset, 27476, 0.100947
alpaca_cleaned_dataset, 8485, 0.100789
alpaca_cleaned_dataset, 11803, 0.100684
alpaca_cleaned_dataset, 41456, 0.1006
alpaca_cleaned_dataset, 29500, 0.100575
alpaca_cleaned_dataset, 38516, 0.100573
alpaca_cleaned_dataset, 26493, 0.100545
alpaca_cleaned_dataset, 9076, 0.100542
alpaca_cleaned_dataset, 18638, 0.100542
alpaca_cleaned_dataset, 36109, 0.100435
alpaca_cleaned_dataset, 5735, 0.100429
alpaca_cleaned_dataset, 43531, 0.100129
alpaca_cleaned_dataset, 39321, 0.100071
alpaca_cleaned_dataset, 17002, 0.099999
alpaca_cleaned_dataset, 28163, 0.099826
alpaca_cleaned_dataset, 14242, 0.099796
alpaca_cleaned_dataset, 29732, 0.099786
alpaca_cleaned_dataset, 27811, 0.099716
alpaca_cleaned_dataset, 49287, 0.099696
alpaca_cleaned_dataset, 12511, 0.099682
alpaca_cleaned_dataset, 27520, 0.099672
alpaca_cleaned_dataset, 1865, 0.09967
alpaca_cleaned_dataset, 36874, 0.099662
alpaca_cleaned_dataset, 2802, 0.099654
alpaca_cleaned_dataset, 29813, 0.099635
alpaca_cleaned_dataset, 11258, 0.099614
alpaca_cleaned_dataset, 46604, 0.099605
alpaca_cleaned_dataset, 42944, 0.099525
alpaca_cleaned_dataset, 19991, 0.099434
alpaca_cleaned_dataset, 24392, 0.099426
alpaca_cleaned_dataset, 24087, 0.099425
alpaca_cleaned_dataset, 19455, 0.099236
alpaca_cleaned_dataset, 15332, 0.09919
alpaca_cleaned_dataset, 15462, 0.099183
alpaca_cleaned_dataset, 51731, 0.099137
alpaca_cleaned_dataset, 25790, 0.099065
alpaca_cleaned_dataset, 11117, 0.098981
alpaca_cleaned_dataset, 98, 0.098969
alpaca_cleaned_dataset, 28211, 0.098922
alpaca_cleaned_dataset, 42375, 0.098729
alpaca_cleaned_dataset, 14157, 0.098588
alpaca_cleaned_dataset, 20208, 0.098586
alpaca_cleaned_dataset, 16826, 0.098575
alpaca_cleaned_dataset, 36271, 0.098567
alpaca_cleaned_dataset, 8884, 0.098455
alpaca_cleaned_dataset, 44571, 0.098441
alpaca_cleaned_dataset, 4085, 0.098413
alpaca_cleaned_dataset, 19829, 0.098385
alpaca_cleaned_dataset, 25377, 0.098238
alpaca_cleaned_dataset, 33781, 0.098223
alpaca_cleaned_dataset, 33043, 0.098066
alpaca_cleaned_dataset, 14985, 0.098047
alpaca_cleaned_dataset, 31032, 0.097951
alpaca_cleaned_dataset, 43918, 0.097951
alpaca_cleaned_dataset, 4660, 0.097948
alpaca_cleaned_dataset, 16282, 0.097948
alpaca_cleaned_dataset, 45803, 0.09792
alpaca_cleaned_dataset, 18370, 0.09791
alpaca_cleaned_dataset, 27753, 0.097827
alpaca_cleaned_dataset, 36535, 0.097788
alpaca_cleaned_dataset, 29902, 0.097782
alpaca_cleaned_dataset, 2246, 0.097765
alpaca_cleaned_dataset, 43040, 0.097754
alpaca_cleaned_dataset, 42031, 0.097732
alpaca_cleaned_dataset, 21386, 0.097531
alpaca_cleaned_dataset, 12066, 0.097501
alpaca_cleaned_dataset, 46153, 0.097424
alpaca_cleaned_dataset, 37700, 0.097419
alpaca_cleaned_dataset, 39494, 0.097244
alpaca_cleaned_dataset, 37569, 0.097166
alpaca_cleaned_dataset, 16001, 0.097104
alpaca_cleaned_dataset, 44483, 0.097086
alpaca_cleaned_dataset, 20205, 0.097053
alpaca_cleaned_dataset, 3174, 0.097044
alpaca_cleaned_dataset, 14817, 0.097004
alpaca_cleaned_dataset, 42957, 0.096927
alpaca_cleaned_dataset, 22654, 0.096922
alpaca_cleaned_dataset, 41961, 0.096914
alpaca_cleaned_dataset, 13725, 0.096856
alpaca_cleaned_dataset, 14067, 0.096853
alpaca_cleaned_dataset, 50460, 0.096838
alpaca_cleaned_dataset, 42522, 0.096802
alpaca_cleaned_dataset, 32539, 0.096602
alpaca_cleaned_dataset, 35763, 0.096464
alpaca_cleaned_dataset, 20530, 0.096455
alpaca_cleaned_dataset, 38360, 0.096409
alpaca_cleaned_dataset, 604, 0.096388
alpaca_cleaned_dataset, 11435, 0.096358
alpaca_cleaned_dataset, 12443, 0.09624
alpaca_cleaned_dataset, 8772, 0.096103
alpaca_cleaned_dataset, 47021, 0.096095
alpaca_cleaned_dataset, 18963, 0.09602
alpaca_cleaned_dataset, 14972, 0.095948
alpaca_cleaned_dataset, 9087, 0.095918
alpaca_cleaned_dataset, 2194, 0.095916
alpaca_cleaned_dataset, 18339, 0.095884
alpaca_cleaned_dataset, 12906, 0.095875
alpaca_cleaned_dataset, 707, 0.095873
alpaca_cleaned_dataset, 47560, 0.095827
alpaca_cleaned_dataset, 48522, 0.095823
alpaca_cleaned_dataset, 48733, 0.095801
alpaca_cleaned_dataset, 2750, 0.0958
alpaca_cleaned_dataset, 29858, 0.095627
alpaca_cleaned_dataset, 34260, 0.095612
alpaca_cleaned_dataset, 27408, 0.095607
alpaca_cleaned_dataset, 16193, 0.095541
alpaca_cleaned_dataset, 19662, 0.095537
alpaca_cleaned_dataset, 583, 0.095523
alpaca_cleaned_dataset, 12628, 0.095475
alpaca_cleaned_dataset, 4951, 0.095463
alpaca_cleaned_dataset, 21193, 0.095443
alpaca_cleaned_dataset, 34643, 0.095436
alpaca_cleaned_dataset, 23362, 0.095406
alpaca_cleaned_dataset, 25576, 0.095402
alpaca_cleaned_dataset, 6980, 0.095385
alpaca_cleaned_dataset, 51548, 0.095383
alpaca_cleaned_dataset, 43416, 0.09532
alpaca_cleaned_dataset, 27022, 0.095316
alpaca_cleaned_dataset, 45108, 0.095309
alpaca_cleaned_dataset, 28206, 0.095304
alpaca_cleaned_dataset, 1842, 0.095243
